"ScientificName","CommonName","Designation","Type","Family","Subfamily","Tribe","Genus","Layer","LifeCycle","DeciduousEvergreen","Zone","SunShadePreference","ShadeTolerance","PerformanceRating","Fertility","Cover","HighSizeMin","HighSizeMax","WideSizeMinMeter","WideSizeMaxMeter","Flowering","Fruiting","FruitingMinYear","FruitingMaxYear","AnnualProductionMinKg","AnnualProductionMaxKg"
"EchinaceaAngustifolia&E.urpurea","Coneflowers","","","Asteraceae","","","Echinacea","","Perennial","D","3","1","2","2","SF","1","1.2","1.2","0.45","0.45","","","0","0","0","0"
"HydrastisCanadensis","Goldenseal","","","Ranunculaceae","Hydrastidoideae","","Hydrastis","","Perennial","D","3","2","4","2","SF","1","0.5","0.5","0.3","0.3","","","0","0","0","0"
"HypericumPerforatum","StJohn'sWort","","","Hypericaceae","","","Hypericum","","Perennial","D","3","1","3","3","SF","1","1","1","0.3","0.3","","","0","0","0","0"
"PanaxGinseng","Ginseng","","","Araliaceae","","","Panax","","Perennial","D","6","2","4","1","SF","1","0.3","0.5","0.3","0.3","","","0","0","0","0"
"SolidagoCanadensis&S.Viraurea","Goldenrods","","","Asteraceae","","","Solidago","","Perennial","D","5","1","2","3","SF","3","1","2","1","2","","","0","0","0","0"
"TanacetumParthenium","Feverfew","","","Asteraceae","","","Tanacetum","","Perennial","D","5","1","2","3","SF","2","0.6","0.6","0.25","0.25","","","0","0","0","0"
"AstragalusGlycyphyllos","MilkVetch","","","Fabaceae","","","Astragalus","","Perennial","D","5","1","2","3","SF","1","1","1","1","1","","","0","0","0","0"
"LotusCorniculatus","Bird'sFootTrefoil","","","Fabaceae","","","Lotus","","Perennial","D","5","1","2","3","SF","3","0.4","0.4","0.6","0.6","","","0","0","0","0"
"LotusUliginosus","GreaterBird'sFootTrefoil","","","Fabaceae","","","Lotus","","Perennial","D","6","1","2","3","SF","3","0.8","0.8","0.8","0.8","","","0","0","0","0"
"LupinusPerennis","WildLupin","","","Fabaceae","","","Lupinus","","Perennial","D","4","1","2","4","SF","3","0.7","0.7","0.7","0.7","","","0","0","0","0"
"PulmonariaOfficinalis","Lungwort","","","Boraginaceae","","","Pulmonaria","","Perennial","E","6","2","4","4","SF","3","0.25","0.25","0.3","0.45","","","0","0","0","0"
"Symphytumspp.","Comfreys","S.Ibericum","DwarfComfrey","Boraginaceae","Boraginoideae","","Symphytum","","Perennial","D-E","5","1","3","4","SF","4","0.4","0.4","0.4","0.4","","","0","0","0","0"
"Symphytumspp.","Comfreys","S.Officinale","MedicinalComfrey","Boraginaceae","Boraginoideae","","Symphytum","","Perennial","D-E","5","1","3","4","SF","4","1.2","1.5","0.6","1","","","0","0","0","0"
"Symphytumspp.","Comfreys","S.Orientale","WhiteComfrey","Boraginaceae","Boraginoideae","","Symphytum","","Perennial","D-E","5","1","3","4","SF","4","0.9","0.9","0.5","0.5","","","0","0","0","0"
"Symphytumspp.","Comfreys","S.Tuberosum","TubverousComfrey","Boraginaceae","Boraginoideae","","Symphytum","","Perennial","D-E","5","1","3","4","SF","4","0.4","0.6","0.4","0.6","","","0","0","0","0"
"Symphytumspp.","Comfreys","S.XUplandicum","RussianorQuakerComfrey","Boraginaceae","Boraginoideae","","Symphytum","","Perennial","D-E","5","1","3","4","SF","4","2","2","1","1","","","0","0","0","0"
"Wisteriaspp.","Wisterias","","","Fabaceae","Faboideae","Millettieae","Wisteria","Vertical","Perennial","D","4-6","1","2","3","SF","2","6","10","0","0","","","0","0","0","0"
"Vitisspp.","Grapes","","","Vitaceae","","","Vitis","Vertical","Perennial","D","5","1","2","4","SF","2","30","0","0","0","May","","1","1","0","0"
"Schisandrachinensis","Magnoliavine","","","Schisandraceae","","","Schisandra","Vertical","Perennial","D","4","1","2","2","SS","0","7","0","0","0","April-May","","1","1","0","0"
"Parthenocissusquinquefolia","VirginiaCreeper","","","Vitaceae","","","Parthenocissus","Vertical","Perennial","D","3","1","4","3","SF","2","20","30","0","0","","","0","0","0","0"
"Parthenocissustricuspidata","BostonIvy","","","Vitaceae","","","Parthenocissus","Vertical","Perennial","D","3","1","4","3","SF","2","20","30","0","0","","","0","0","0","0"
"LoniceraPericlymenum","Honeysuckle-Woodbine","","","Ranunculaceae","","","Clematis","Vertical","Perennial","D","5","1","3","2","SF","0","3","6","0","0","","","0","0","0","0"
"ClematisVitalba","Oldman'sbeard-Traveller'sjoy","","","Ranunculaceae","","","Clematis","Vertical","Perennial","D","4","2","4","2","SF","0","10","0","10","0","","","0","0","0","0"
"Akebiaquinata","Chocolatevineakebia","","","Lardizabalaceae","","","Akebia","Vertical","Perennial","E","5","1","2","1","SS","2","5","10","0","0.4","Spring","September-October","1","1","0","0"
"Akebiatrifoliata","Three-leafakebia","","","Lardizabalaceae","","","Akebia","Vertical","Perennial","E","5","1","2","1","SS","2","5","10","0","0.4","Spring","September-October","1","1","0","0"
"Actinidiaarguta","Hardykiwi","","","Actinidiaceae","","","Actinidia","Vertical","Perennial","D","2-7","1","3","3","M-F","0","30","0","0","0","Latespring","September-November","1","1","0","0"
"Actinidiadeliciosa","Fuzzykiwi","","","Actinidiaceae","","","Actinidia","Vertical","Perennial","D","2-7","1","3","3","M-F","0","30","0","0","0","Latespring","September-November","1","1","0","0"
"Actinidiakolomikta","Hardykiwi","","","Actinidiaceae","","","Actinidia","Vertical","Perennial","D","2-7","1","3","3","M-F","0","30","0","0","0","Latespring","September-November","1","1","0","0"
"Viciasylvatica","Woodvetch","","","Fabaceae","","","Vicia","Vertical-Herbaceous","Perennial","D","3","1","2","3","SF","0","0","2","0","2","","","0","0","0","0"
"Tropaeolumtuberosum","Mashua","","","Tropaeolaceae","","","Tropaeolum","Vertical-Herbaceous","Perennial","D","8","1","2","1","SF","0","0","2","0","0.4","","","0","0","0","0"
"Passifloraincarnata","Maypop","","","Passifloraceae","","","Passiflora","Vertical-Herbaceous","Perennial","D","6","1","2","2","SF","0","0","5","0","0.4","Earlysummer","September-November","1","1","0","0"
"Lathyrustuberosus","Earthnutpea","","","Fabaceae","Faboideae","","Lathyrus","Vertical-Herbaceous","Perennial","D","6","1","2","1","SF","0","0","1.2","0","0.15","","","0","0","0","0"
"Lathyruslatifolius","Perennialsweetpeas","","","Fabaceae","Faboideae","","Lathyrus","Vertical-Herbaceous","Perennial","D","5","1","2","3","SF","0","1","3","0","0.15","","","0","0","0","0"
"Lathyrussylvestris","Narrow-leavedeverlasting-pea","","","Fabaceae","Faboideae","","Lathyrus","Vertical-Herbaceous","Perennial","D","5","1","2","3","SF","0","1","3","0","0.15","","","0","0","0","0"
"Humuluslupulus","Hop","","","Cannabaceae","","","Humulus","Vertical-Herbaceous","Perennial","D","5","1","3","4","M-F","0","0","6","0","0","","","0","0","0","0"
"Hablitziatamnoides","Caucasianspinach","","","Amaranthaceae","Betoideae","Hablitzieae","Hablitzia","Vertical-Herbaceous","Perennial","D","4","2","3","3","SF","0","3","0","0","0.3","","","0","0","0","0"
"Gynostemmapentaphyllum","Sweetteavine","","","Cucurbitaceae","","","Gynostemma","Vertical-Herbaceous","Perennial","D","7","2","4","4","M-F","1","3","0","0","0","","","0","0","0","0"
"Dioscoreaalata","Purpleyam","","","Dioscoreaceae","","","Dioscorea","Vertical-Herbaceous","Perennial","D","5","1","2","2","SF","0","4","0","0.3","0","","","0","0","0","0"
"Dioscoreabulbifera","Airpotato","","","Dioscoreaceae","","","Dioscorea","Vertical-Herbaceous","Perennial","D","5","1","2","2","SF","0","4","0","0.3","0","","","0","0","0","0"
"Apiosamericana","Groundnut","","","Fabaceae","Faboideae","Phaseoleae","Apios","Vertical-Herbaceous","Perennial","D","3","1","3","3","SF","0","2.5","0","0.3","0","","","0","0","0","0"
"Viciasativa","Vetch","","","Fabaceae","","","Vicia","Vertical-Herbaceous","Annual","E","5","1","2","3","SF","3","0","1.2","0","0","","","0","0","0","0"
"Ullucustuberosus","Ulluco","","","Basellaceae","","","Ullucus","Vertical-Herbaceous","Perennial","D","9","1","1","1","SF","0","0","0.3","0","0.3","","","0","0","0","0"
"Tropaeolummajus","Nasturtium","","","Tropaeolaceae","","","Tropaeolum","Vertical-Herbaceous","Annual","D","5","1","2","4","SF","2","0","3","0","0","","","0","0","0","0"
"Stellariamedia","Chickweed","","","Caryophyllaceae","","","Stellaria","Vertical?-Herbaceous","Annual","D","5","1","2","3","SF","1","0","0.4","0","0","","","0","0","0","0"
"Smyrniumolusatrum","Alexanders-Blacklovage","","","Apiaceae","","","Smyrnium","Herbaceous","Biennial","D","5","2","4","3","SF","2","0","1.5","0","0.8","","","0","0","0","0"
"Smallanthussonchifolius","Yacon","","","Asteraceae","","","Smallanthus","Herbaceous","Perennial","D","9","1","2","1","SF","2","1","2","0","0.4","","","0","0","0","0"
"Sisymbriumofficinale","Hedgemustard","","","Brassicaceae","","","Sisymbrium","Herbaceous","Annual","D","5","2","3","3","SF","1","0","0.9","0","0.3","","","0","0","0","0"
"Oxalistuberosa","Oca","","","Oxalidaceae","","","Oxalis","Herbaceous","Perennial","D","9","1","1","1","SF","2","0","0.3","0","0.3","","","0","0","0","0"
"Medicagolupulina","Blackmedick","","","Fabaceae","Faboideae","","Medicago","Herbaceous","Biennial","E","5","1","2","3","SF","2","0","0.3","0","0.2","","","0","0","0","0"
"Malvapusilla","Smallmallow","","","Malvaceae","","","Malva","Herbaceous","Annual","D","5","1","3","2","SF","1","0.5","0.8","0","0.3","","","0","0","0","0"
"Malvaverticillata","Chinessemallow","","","Malvaceae","","","Malva","Herbaceous","Annual","D","5","1","3","2","SF","1","0.5","0.8","0","0.3","","","0","0","0","0"
"Lunariaannua","Honesty","","","Brassicaceae","","","Lunaria","Herbaceous","Biennial","E","5","1","2","3","SF","1","0","0.6","0","0.3","","","0","0","0","0"
"Lathyrusodoratus","Sweetpea","","","Fabaceae","Faboideae","","Lathyrus","Herbaceous","Annual","D","9","1","2","3","SF","0","0","3","0","0","","","0","0","0","0"
"Claytoniaperfoliata","Winterpurslane-Miner'slettuce","","","Montiaceae","","","Claytonia","Herbaceous","Annual","E","4","1","3","3","SF","2","0","0.3","0","0.3","","","0","0","0","0"
"Cardamineflexuosa","Wavybittercress","","","Brassicaceae","","","Cardamine","Herbaceous","Annual","D","4","1","2","3","SF","0","0.3","0.45","0","0.2","","","0","0","0","0"
"Cardaminehirsuta","Hairybittercress","","","Brassicaceae","","","Cardamine","Herbaceous","Annual","D","4","1","2","3","SF","0","0.3","0.45","0","0.2","","","0","0","0","0"
"Campanularapunculus","Rampion","","","Campanulaceae","","","Campanula","Herbaceous","Biennial","D","4","1","3","3","SF","1","0.3","1","0.3","1","","","0","0","0","0"
"Calendulaofficinalis","Potmarigold","","","Asteraceae","Asteroideae","Calenduleae","Calendula","Herbaceous","Annual","D","6","1","3","4","SF","2","0.5","0.7","0","0.3","","","0","0","0","0"
"Betavulgarissubsp.Cicla","Spinachbeet-Swisschard","","","Chenopodiaceae","","","Beta","Herbaceous","Perennial","E","7","1","3","3","SF","2","0.6","1.5","0","0.4","","","0","0","0","0"
"Barbareaverna","Landcress","","","Brassicaceae","","","Barbarea","Herbaceous","Biennial","D","6","1","3","3","SF","0","0","0.6","0","0.3","","","0","0","0","0"
"Arctiumlappa","Greaterburdock","","","Asteraceae","","","Arctium","Herbaceous-Rhizosphere?","Biennial","D","3-5","1","3","3","SF","2","0","2","0","0","","","0","0","0","0"
"Arctiumminus","Lesserburdock","","","Asteraceae","","","Arctium","Herbaceous-Rhizosphere?","Biennial","D","3-5","1","3","3","SF","2","0","2","0","0","","","0","0","0","0"
"Amphicarpaeabracteata","Hogpeanut","","","Fabaceae","","","Amphicarpaea","Vertical","Annual","D","5","2","3","3","SF","1","0","1.5","0","0","","","0","0","0","0"
"Alliariapetiolata","Garlicmustard-Jack-by-the-hedge","","","Brassicaceae","","","Alliaria","Herbaceous","Biennial","D","5","2","3","3","SF","1","1","1.2","0","0.3","","","0","0","0","0"
"Waldsteiniaternata","Barrenstrawberry","","","Rosaceae","","","Waldsteinia","Herbaceous","Perennial","E","4","2","4","3","SF","2","0","0.1","0","0","","","0","0","0","0"
"Vincamajor","Lesserperiwinkle","","","Apocynaceae","","","Vinca","Herbaceous-Vertical","Perennial","E","7","2","5","4","SF","3","0.45","0.6","0","0","","","0","0","0","0"
"Vincaminor","Greaterperiwinkle","","","Apocynaceae","","","Vinca","Herbaceous-Vertical","Perennial","E","4","2","5","4","SF","3","0.25","0.4","0","0","","","0","0","0","0"
"Tiarellacordifolia","Foamflower","","","Saxifragaceae","","","Tiarella","Herbaceous","Perennial","D","3","2","4","2","SF","2","0","0.3","0","0","","","0","0","0","0"
"Saponariaofficinalis","Soapwort","","","Caryophyllaceae","","","Saponaria","Herbaceous","Perennial","D","4","1","2","3","SF","1","0","0.6","0","0","","","0","0","0","0"
"Sanguinariacanadensis","Bloodroot","","","Papaveraceae","","","Sanguinaria","Herbaceous","Perennial","D","3","2","4","2","SF","2","0.2","0.5","0","0.3","","","0","0","0","0"
"Mitchellarepens","Partridgeberry","","","Rubiaceae","","","Mitchella","Herbaceous-vertical","Perennial","E","4","2","4","2","SF","2","0","0.05","0","0","","","0","0","0","0"
"Lysimachianummularia","Creepingjenny","","","Primulaceae","","","Lysimachia","Herbaceous","Perennial","D","4","2","3","2","SF","2","0","0.05","0","0","","","0","0","0","0"
"Heuchera","Alumroot-Coralflowers","","","Saxifragaceae","","","Heuchera","Herbaceous","Perennial","E","5","2","4","3","SF","2","0.45","1","0.3","0.4","","","0","0","0","0"
"Geraniummacrorrhizum","Rockcranesbill","","","Geraniaceae","","","Geranium","Herbaceous","Perennial","D","3","2","4","2","SF","2","0","0.3","0","0","","","0","0","0","0"
"Galaxurceolata","Wandflower","","","Diapensiaceae","","","Galax","Herbaceous","Perennial","E","4","2","4","2","SF","2","0","0.25","0","0","","","0","0","0","0"
"Chrysogonumvirginianum","Goldenstar","","","Asteraceae","","","Chrysogonum","Herbaceous","Perennial","SE","5","2","3","4","SF","2","0","0.1","0","0","","","0","0","0","0"
"Asarumeuropaeum","Asarabacca","","","Aristolochiaceae","","","Asarum","Herbaceous","Perennial","E","4","3","5","3","SF","2","0","0.3","0","0","","","0","0","0","0"
"Asarumcanadense","Wildginger","","","Aristolochiaceae","","","Asarum","Herbaceous","Perennial","D","2","3","5","3","SF","2","0","0.3","0","0","","","0","0","0","0"
"Alchemillamollis","Lady'smantle","","","Rosaceae","","","Alchemilla","Herbaceous","Perennial","D","5","2","4","3","SF","2","0.3","0.5","0","0","","","0","0","0","0"
"Ajugareptans","Bugle","","","Lamiaceae","","","Ajuga","Herbaceous","Perennial","E","6","1","4","2","SF","2","0.1","0.3","0","0","","","0","0","0","0"
"Acanthusmollis","Bear'sbreech","","","Acanthaceae","","","Acanthus","Herbaceous","Perennial","D","6","1","3","2","SF","2","1","1.5","0.6","0.9","","","0","0","0","0"
"Valerianaofficinalis","Valerian","","","Valerianaceae","","","Valeriana","Herbaceous","Perennial","D","4","1","2","3","SF","1","1.2","2","0.4","0.8","","","0","0","0","0"
"Trifoliumrepens","Whiteclover","","","Fabaceae","","","Trifolium","Herbaceous-Vertical","Perennial","D","4","1","3","3","SF","2","0.1","0.2","0","0","","","0","0","0","0"
"Trifoliumpratense","Redclover","","","Fabaceae","Faboideae","Trifolieae","Trifolium","Herbaceous","Biennial-Perennial","D","6","1","2","3","SF","2","0","0.6","0","0","","","0","0","0","0"
